Topic,Title,Deleted,Media
1,翻转的时光,FALSE,邓安庆
1,怎么写你都不够,FALSE,邓安庆
1,疑似武汉肺炎，居家隔离的第六天,FALSE,兜爷麻麻不睡觉
1,我们在一起做的事情,FALSE,邓安庆
1,一脚一个春天,FALSE,邓安庆
2,隔离前，她们去过4个城市，跟80多人吃过饭,FALSE,冰点周刊
2,记者手记|疫情笼罩纽约，哥伦比亚大学停课两天,FALSE,财新网
2,时疫琐记,FALSE,邓安庆
2,瑞士女议员因戴口罩被赶出议会大厅！如何理解“不戴口罩”的欧洲？,FALSE,中国经营报
2,德国疫情日记⑦：德国人为什么不爱戴口罩？,FALSE,体坛周报
3,回武汉记（六）,FALSE,谈骁
3,回武汉记（五）,FALSE,谈骁
3,UP主实拍：“空城”武汉的物价、交通 、生活状态,FALSE,第一财经
3,封面报道之治理篇|襄阳：最后的出口,FALSE,财新网
3,襄阳：如何成为湖北唯一不“封城”的地级市,FALSE,南方周末/南方人物周刊
4,新增确诊99例，其中境外输入24例,FALSE,澎湃新闻
4,湖北以外新增17例，其中16例来自境外,FALSE,澎湃新闻
4,首次！全国新增治愈出院超过新增确诊,FALSE,澎湃新闻
4,肺炎日记|2月27日：国际疫情继续升级 新增病例首超中国,FALSE,财新网
4,国内出现至少 5 例海外输入病例，世卫组织将疫情等级提至最高，以及其他 20 条疫情新闻,FALSE,所有的鱼
5,有研究探新冠病毒基因演化 疑华南海鲜市场非原始来源,FALSE,财新网
5,华南海鲜市场不是病毒发源地，中科院团队基因追踪“零号病人”再进一步,FALSE,界面新闻
5,华南海鲜市场不是病毒发源地！中科院团队基因追踪“零号病人”再进一步,FALSE,DeepTech深科技
5,气溶胶传播新冠病毒？医学专家提醒尚缺充分研究佐证,FALSE,财经杂志/财经十一人
5,科技部急征快速试剂盒，15分钟检出新冠病毒可靠吗？,FALSE,中国新闻周刊
6,大年三十，父母送我们离开了湖北老家,FALSE,人间theLivings
6,在疫情面前，小镇上的每个人都不一样,FALSE,人间theLivings
6,老公进驻医院后，家门就是我们的鹊桥,FALSE,人间theLivings
6,直到离开家时，我才真切感受到了恐惧,FALSE,人间theLivings
6,武汉的餐饮人：在这个冬天等春天,FALSE,人间theLivings
7,首例新冠危重症患者全肺活检病理报告：肺成了古铜色,FALSE,澎湃新闻
7,刘良团队首份新冠遗体解剖报告来了：和SARS有区别,FALSE,澎湃新闻
7,钟南山领衔最新新冠研究：这些病人风险最高,FALSE,澎湃新闻
7,新冠肺炎遗体解剖已完成11例，死者肺部有黏液性分泌物,FALSE,界面新闻
7,首例新冠遗体解剖结果将公布，手术前这个举动不一般,FALSE,澎湃新闻
8,亲历者讲述：武汉市中心医院医护人员被感染始末,FALSE,中国新闻周刊
8,武汉疫情调查追踪：医护感染应受关注,FALSE,财新网
8,一家 “遍体鳞伤”的武汉三甲医院,FALSE,澎湃新闻
8,武汉同济医院一线医生口述：每天面对死亡，紧张但不恐惧——专访武汉同济医院心内科医生赵金召,FALSE,经济观察报
8,武汉市中心医院医护人员吐真情：疫情是面照妖镜,TRUE,环球时报
9,口述｜ICU男护士“Tony蒋”，曾经也是手残党,FALSE,澎湃新闻
9,“我血管细，你们眼镜都糊了，是不好打针”,FALSE,澎湃新闻
9,抗疫、漫画、追星、拍Vlog……这届90后护士另类又强大,FALSE,澎湃新闻
9,从崩溃到零感染，第一批援助医疗队在黄冈的30天,FALSE,一条
9,世界，我们需要帮助：中国医务人员柳叶刀发文，请求国际医疗支援,TRUE,丁香园
10,通知“严禁讨论疫情、擅自接受采访”，官方回应,FALSE,澎湃新闻
10,办理健康证还要缴费？官方回应：不违规,FALSE,澎湃新闻
10,云南彝良回应150名医务人员放弃抗疫补助,FALSE,界面新闻
10,一线医护补助最低400元，医院领导拿8000元，查！,FALSE,澎湃新闻
10,回武汉救命！在外停药的慢性疾病患者有希望了,FALSE,澎湃新闻
11,瑞德西韦与双黄连试验之比较，尚未起跑已分高下,FALSE,DeepTech深科技
11,医学顶刊首发新冠临床试验结果：中国研究证实克力芝收效甚微，不能降低重症死亡率,FALSE,DeepTech深科技
11,解药|无临床试验结果，院士李兰娟两款新冠荐药数据遭质疑,FALSE,财新网
11,瑞德西韦仿制药量产 专利问题何解,FALSE,经济观察报
11,疫情当前 何以回家：马尼拉中国旅客的漫漫回国路,FALSE,腾讯新闻《潜望》
12,深圳野生动物禁食条例征求意见 这些动物被明确列入禁食黑名单……,FALSE,经济观察报
